Date,Ålder_0_9,Ålder_10_19,Ålder_20_29,Ålder_30_39,Ålder_40_49,Ålder_50_59,Ålder_60_69,Ålder_70_79,Ålder_80_90,Ålder_90_plus,Uppgift saknas,Ålder_80_89,80+
2020-07-09,443.0,2907.0,10231.0,11125.0,12507.0,13665.0,7893.0,5655.0,0.0,3477.0,20.0,6410.0,9887.0
2020-07-10,448.0,2945.0,10367.0,11263.0,12597.0,13745.0,7934.0,5673.0,0.0,3483.0,20.0,6423.0,9906.0
2020-07-13,466.0,3016.0,10609.0,11455.0,12748.0,13892.0,7986.0,5701.0,0.0,3489.0,21.0,6443.0,9932.0
2020-07-14,469.0,3027.0,10650.0,11490.0,12776.0,13917.0,8000.0,5711.0,0.0,3490.0,21.0,6450.0,9940.0
2020-07-15,471.0,3051.0,10803.0,11595.0,12853.0,13982.0,8042.0,5726.0,0.0,3492.0,21.0,6456.0,9948.0
2020-07-16,476.0,3075.0,10903.0,11666.0,12920.0,14050.0,8072.0,5736.0,0.0,3496.0,21.0,6462.0,9958.0
2020-07-17,477.0,3114.0,11030.0,11735.0,12969.0,14101.0,8109.0,5753.0,0.0,3503.0,21.0,6469.0,9972.0
2020-07-20,481.0,3169.0,11221.0,11888.0,13103.0,14214.0,8170.0,5789.0,0.0,3510.0,19.0,6484.0,9994.0
2020-07-21,481.0,3179.0,11250.0,11911.0,13121.0,14228.0,8181.0,5794.0,0.0,3513.0,19.0,6489.0,10002.0
2020-07-22,485.0,3198.0,11331.0,11981.0,13177.0,14285.0,8211.0,5806.0,0.0,3515.0,19.0,6496.0,10011.0
2020-07-23,488.0,3222.0,11421.0,12028.0,13211.0,14315.0,8230.0,5810.0,0.0,3518.0,19.0,6501.0,10019.0
2020-07-24,491.0,3244.0,11482.0,12072.0,13251.0,14341.0,8251.0,5818.0,0.0,3522.0,19.0,6506.0,10028.0
2020-07-27,494.0,3276.0,11592.0,12152.0,13300.0,14399.0,8281.0,5835.0,0.0,3526.0,19.0,6521.0,10047.0
2020-07-28,495.0,3279.0,11626.0,12169.0,13314.0,14411.0,8289.0,5839.0,0.0,3527.0,19.0,6526.0,10053.0
2020-07-29,499.0,3300.0,11702.0,12230.0,13356.0,14459.0,8309.0,5853.0,0.0,3527.0,19.0,6528.0,10055.0
2020-07-31,504.0,3347.0,11898.0,12352.0,13454.0,14550.0,8357.0,5871.0,0.0,3529.0,19.0,6541.0,10070.0
2020-08-03,512.0,3386.0,12113.0,12449.0,13556.0,14621.0,8387.0,5891.0,0.0,3533.0,19.0,6545.0,10078.0
2020-08-04,514.0,3395.0,12158.0,12489.0,13584.0,14647.0,8395.0,5896.0,0.0,3535.0,19.0,6549.0,10084.0
2020-08-05,517.0,3421.0,12295.0,12561.0,13625.0,14684.0,8424.0,5905.0,0.0,3538.0,18.0,6552.0,10090.0
2020-08-06,522.0,3440.0,12465.0,12635.0,13687.0,14743.0,8442.0,5917.0,0.0,3541.0,18.0,6557.0,10098.0
2020-08-07,525.0,3466.0,12587.0,12728.0,13729.0,14778.0,8463.0,5926.0,0.0,3542.0,18.0,6561.0,10103.0
2020-08-10,530.0,3514.0,12800.0,12838.0,13799.0,14898.0,8504.0,5947.0,0.0,3551.0,18.0,6573.0,10124.0
2020-08-11,531.0,3524.0,12848.0,12866.0,13830.0,14917.0,8514.0,5950.0,0.0,3553.0,18.0,6575.0,10128.0
